Timestamp,ImageFilename,RecognizedText
2025-05-30_15-24-42,plate_2025-05-30_15-24-42_0000.jpg,6036
2025-05-30_15-24-42,plate_2025-05-30_15-24-42_0001.jpg,603 LKL
2025-05-30_15-24-43,plate_2025-05-30_15-24-43_0002.jpg,7602 MKL
2025-05-30_15-24-45,plate_2025-05-30_15-24-45_0003.jpg,KL6036
2025-05-30_15-24-46,plate_2025-05-30_15-24-46_0004.jpg,603
2025-05-30_15-59-32,plate_2025-05-30_15-59-32_0000.jpg,6036
2025-05-30_15-59-33,plate_2025-05-30_15-59-33_0001.jpg,L7 6036
2025-05-30_15-59-33,plate_2025-05-30_15-59-33_0002.jpg,7 6036
2025-05-30_15-59-34,plate_2025-05-30_15-59-34_0003.jpg,L7 6036
2025-05-30_15-59-34,plate_2025-05-30_15-59-34_0004.jpg,L 6036
2025-05-30_15-59-36,plate_2025-05-30_15-59-36_0005.jpg,6036
2025-05-30_15-59-37,plate_2025-05-30_15-59-37_0006.jpg,JKL6036
2025-05-30_15-59-38,plate_2025-05-30_15-59-38_0007.jpg,76036 NKL
2025-05-30_15-59-39,plate_2025-05-30_15-59-39_0008.jpg,6036
2025-05-30_15-59-40,plate_2025-05-30_15-59-40_0009.jpg,KL 6036
2025-05-30_15-59-40,plate_2025-05-30_15-59-40_0010.jpg,L6036
2025-05-30_15-59-41,plate_2025-05-30_15-59-41_0011.jpg,6036
2025-05-30_15-59-42,plate_2025-05-30_15-59-42_0012.jpg,L76036
2025-05-30_15-59-42,plate_2025-05-30_15-59-42_0013.jpg,NKL6036
2025-05-30_15-59-43,plate_2025-05-30_15-59-43_0014.jpg,IKL6036
2025-05-30_15-59-45,plate_2025-05-30_15-59-45_0015.jpg,KL6036
2025-05-30_15-59-45,plate_2025-05-30_15-59-45_0016.jpg,6036
2025-05-30_16-05-22,plate_2025-05-30_16-05-22_0017.jpg,KL76036
2025-05-30_16-05-23,plate_2025-05-30_16-05-23_0018.jpg,MKL 6036
2025-05-30_16-05-23,plate_2025-05-30_16-05-23_0019.jpg,KL F603
2025-05-30_16-05-24,plate_2025-05-30_16-05-24_0020.jpg,MKL6036
2025-05-30_16-05-25,plate_2025-05-30_16-05-25_0021.jpg,26036
2025-05-30_16-05-26,plate_2025-05-30_16-05-26_0022.jpg,L6036
2025-05-30_16-05-27,plate_2025-05-30_16-05-27_0023.jpg,KL6036
2025-05-30_16-05-28,plate_2025-05-30_16-05-28_0024.jpg,4 KL 60
2025-05-30_16-05-29,plate_2025-05-30_16-05-29_0025.jpg,KL6036
2025-05-30_16-05-29,plate_2025-05-30_16-05-29_0026.jpg,MKL 7 603
2025-05-30_16-05-29,plate_2025-05-30_16-05-29_0027.jpg,KL60
2025-05-30_16-05-30,plate_2025-05-30_16-05-30_0028.jpg,L6036
2025-05-30_16-05-30,plate_2025-05-30_16-05-30_0029.jpg,MKL60
2025-05-30_16-05-30,plate_2025-05-30_16-05-30_0030.jpg,L6036
2025-05-30_16-05-34,plate_2025-05-30_16-05-34_0031.jpg,L76036
2025-05-30_16-05-37,plate_2025-05-30_16-05-37_0032.jpg,KL6036
2025-05-30_16-05-39,plate_2025-05-30_16-05-39_0033.jpg,MKL 603
2025-05-30_16-05-45,plate_2025-05-30_16-05-45_0034.jpg,MKL60361
2025-05-30_16-05-46,plate_2025-05-30_16-05-46_0035.jpg,MKL 60361
2025-05-30_16-05-49,plate_2025-05-30_16-05-49_0036.jpg,MYKL60361
2025-05-30_16-05-50,plate_2025-05-30_16-05-50_0037.jpg,MKL60361
2025-05-30_16-05-50,plate_2025-05-30_16-05-50_0038.jpg,LKL 60361
2025-05-30_16-05-55,plate_2025-05-30_16-05-55_0039.jpg,KL 6036
2025-05-30_16-06-05,plate_2025-05-30_16-06-05_0040.jpg,NKL6036
2025-05-30_16-06-05,plate_2025-05-30_16-06-05_0041.jpg,MKL6036
2025-05-30_16-06-06,plate_2025-05-30_16-06-06_0042.jpg,KL6036
2025-05-30_16-06-06,plate_2025-05-30_16-06-06_0043.jpg,MKL6036
2025-05-30_16-06-08,plate_2025-05-30_16-06-08_0044.jpg,KL60361
2025-05-30_16-06-08,plate_2025-05-30_16-06-08_0045.jpg,KL6036
2025-05-30_16-06-09,plate_2025-05-30_16-06-09_0046.jpg,WKL60364
2025-05-30_16-06-10,plate_2025-05-30_16-06-10_0047.jpg,MKL6036
2025-05-30_16-06-32,plate_2025-05-30_16-06-32_0048.jpg,COPOLOCK
2025-05-30_16-07-17,plate_2025-05-30_16-07-17_0049.jpg,KL 603
2025-05-30_16-07-18,plate_2025-05-30_16-07-18_0050.jpg,KL76036
2025-05-30_16-07-22,plate_2025-05-30_16-07-22_0051.jpg,WKL602
2025-05-30_16-07-23,plate_2025-05-30_16-07-23_0052.jpg,MKL 603
2025-05-30_16-07-24,plate_2025-05-30_16-07-24_0053.jpg,L6036
2025-05-30_16-07-24,plate_2025-05-30_16-07-24_0054.jpg,WKL603
2025-05-30_16-07-25,plate_2025-05-30_16-07-25_0055.jpg,MKL60
2025-05-30_16-07-26,plate_2025-05-30_16-07-26_0056.jpg,N4 KL 603
2025-05-30_16-07-28,plate_2025-05-30_16-07-28_0057.jpg,6036
